expert	HP:0011706;HP:0001709;HP:0011705;HP:0001663;HP:0004756;HP:0011675;HP:0004756;HP:0006699;HP:0006682;HP:0004755;HP:0001695;HP:0012220;HP:0001639;HP:0001718;HP:0004372;HP:0001279;HP:0001635;HP:0002094;HP:0001297;HP:0001279;HP:0005120;HP:0011103;HP:0003116;HP:0004415;HP:0001712;HP:0012664;HP:0001653;HP:0001718;HP:0005180;HP:0010446;HP:0005120;HP:0005120;HP:0005110;HP:0011025
lmm	HP:0001639;HP:0001712;HP:0001670;HP:0005157;HP:0001639;HP:0001691;HP:0001639;HP:0001639;HP:0001712;HP:0001645;HP:0001627
omim	HP:0001635;HP:0001670;HP:0001682;HP:0001699;HP:0001939;HP:0001962;HP:0011675;HP:0001639;HP:0004756;HP:0005144;HP:0001638;HP:0001645;HP:0004757;HP:0002094;HP:0001712;HP:0005110;HP:0011713;HP:0001634;HP:0001678;HP:0001688;HP:0001716;HP:0004309;HP:0001714;HP:0001723;HP:0006685;HP:0001644
arup	HP:0001712;HP:0001712;HP:0001667;HP:0011664;HP:0012664;HP:0011675;HP:0001716;HP:0001678;HP:0004756;HP:0005110;HP:0001658;HP:0001279;HP:0000822
